#Summary of the data
#Min.	25%	Mean	Median	75%	Max.	Var
#2.000	232.000	420.313	298.000	380.000	16324.000	1245692.554
#Data for density plot
#X	Y(density)
0	0.00055881195579474
560.246562043488	0.000842780915208037
1120.49312408698	6.86469304125701e-06
1680.73968613046	3.28745497807705e-06
2240.98624817395	3.31289960419624e-06
2801.23281021744	2.32410085742089e-06
3361.47937226093	1.22190760213817e-06
3921.72593430442	7.71994435549521e-07
4481.97249634791	7.06257191944969e-07
5042.21905839139	4.90079260908709e-07
5602.46562043488	5.44550801901784e-07
6162.71218247837	2.67788331171711e-07
6722.95874452186	4.59282732199236e-07
7283.20530656535	3.30501639595185e-07
7843.45186860884	4.09746382360895e-07
8403.69843065233	6.24429021507352e-07
8963.94499269582	2.95092352727108e-07
9524.1915547393	6.43861387316822e-07
10084.4381167828	5.10481054476816e-07
10644.6846788263	2.43300380671031e-07
11204.9312408698	9.90878482275673e-07
11765.1778029133	3.26510646149021e-07
12325.4243649567	1.87124146816717e-07
12885.6709270002	1.7622838710369e-07
13445.9174890437	4.87188064012842e-07
14006.1640510872	5.94501688638004e-07
14566.4106131307	3.12520998753352e-07
15126.6571751742	5.60981918639763e-09
15686.9037372177	7.40455886506669e-07
16247.1502992612	5.68652646094913e-06
