1	13229	1
1	13230	1
1	13231	1
1	13232	2
1	13233	2
1	13234	2
1	13235	2
1	13236	2
1	13237	2
1	13238	2
1	13239	2
1	13240	2
1	13241	2
1	13242	2
1	13243	2
1	13244	2
1	13245	2
1	13246	2
1	13247	2
1	13248	2
1	13249	2
1	13250	2
1	13251	2
1	13252	2
1	13253	2
1	13254	2
1	13255	2
1	13256	2
1	13257	2
1	13258	2
1	13259	2
1	13260	2
1	13261	2
1	13262	2
1	13263	2
1	13264	2
1	13265	2
1	13266	2
1	13267	2
1	13268	2
1	13269	2
1	13270	2
1	13271	2
1	13272	2
1	13273	2
1	13274	2
1	13275	2
1	13276	2
1	13277	2
1	13278	2
1	13279	2
1	13280	2
1	13281	2
1	13282	2
1	13283	2
1	13284	2
1	13285	2
1	13286	2
1	13287	2
1	13288	2
1	13289	2
1	13290	2
1	13291	2
1	13292	2
1	13293	2
1	13294	2
1	13295	3
1	13296	3
1	13297	3
1	13298	3
1	13299	3
1	13300	3
1	13301	3
1	13302	3
1	13303	3
1	13304	3
1	13305	3
1	13306	3
1	13307	3
1	13308	3
1	13309	3
1	13310	3
1	13311	3
1	13312	3
1	13313	3
1	13314	3
1	13315	3
1	13316	3
1	13317	3
1	13318	3
1	13319	3
1	13320	3
1	13321	3
1	13322	3
1	13323	3
1	13324	3
1	13325	3
1	13326	3
1	13327	3
1	13328	3
1	13329	2
1	13330	2
1	13331	2
1	13332	1
1	13333	1
1	13334	1
1	13335	1
1	13336	1
1	13337	1
1	13338	1
1	13339	1
1	13340	1
1	13341	1
1	13342	1
1	13343	1
1	13344	1
1	13345	1
1	13346	1
1	13347	1
1	13348	1
1	13349	1
1	13350	1
1	13351	1
1	13352	1
1	13353	1
1	13354	1
1	13355	1
1	13356	1
1	13357	1
1	13358	1
1	13359	1
1	13360	1
1	13361	1
1	13362	1
1	13363	1
1	13364	1
1	13365	1
1	13366	1
1	13367	1
1	13368	1
1	13369	1
1	13370	1
1	13371	1
1	13372	1
1	13373	1
1	13374	1
1	13375	1
1	13376	1
1	13377	1
1	13378	1
1	13379	1
1	13380	1
1	13381	1
1	13382	1
1	13383	1
1	13384	1
1	13385	0
1	13420	1
1	13421	1
1	13422	1
1	13423	1
1	13424	1
1	13425	1
